,Company,Latitude,Longitude,Pais,Cidade
92,ARISB-MG,-19.9197058,-43.93889670000001,BR,Belo Horizonte
93,"AC Tecnologia - Áudio/Vídeo, Automação Corporativa, Residencial, e Gov.",-15.8018206,-47.9261512,BR,Brasilia
94,Universidade Federal do Rio de Janeiro,-22.8625345,-43.2234737,BR,Rio de Janeiro
95,Dasa,34.0057434,-117.4869984,US,Glen Avon
96,Bradesco,40.7614676,-73.9712067,US,Manhattan
97,Centro de Inovação EDGE,-9.5545464,-35.7749275,BR,Satuba
98,Cervejaria Ambev,-1.3747977,-48.3500793,BR,Ananindeua
99,Confidential,29.9669841,-95.5756531,US,Oak Cliff Place
100,"Secretaria Municipal de Meio Ambiente, Saneamento e Recursos Hídricos de Cristalina Goiás ",-16.7711668,-47.61283599999999,BR,Cristalina
101,Rede,45.5347379,-122.6682097,US,Portland
102,Grupo SEPAC,27.4843337,-109.9567663,MX,Ciudad Obregon
103,Veterinário,37.1556278,-95.5947005,US,Coffeyville
104,Conselho Baiano de Turismo,-12.9195014,-38.355622,BR,Lauro de Freitas
105,Unimed Federação Rio,-22.9015875,-43.1786872,BR,Rio de Janeiro
106,Caixa Econômica Federal,2.8183369,-60.7157975,BR,Boa Vista
107,Mater Misericordiae University Hospital,53.3598586,-6.2656689,IE,Drumcondra
108,CreativeCode,28.0391117,-82.55370309999999,US,Town 'n' Country
109,Unimed Nordeste Paulista - Federacao Intrafederativa Das Cooperativas Medicas,-21.1939278,-47.7590642,BR,Ribeirao Preto
110,Grupo GFT,46.7654647,-71.3121184,CA,L'Ancienne-Lorette
111,BEHIVE TECNOLOGIA,-22.2558424,-45.6953922,BR,Santa Rita do Sapucai
112,Embarcados,-32.9605374,-60.6204669,AR,Rosario
113,NVIDIA,45.5345522,-122.8865277,US,Rockcreek
114,SkillArena,33.9582109,-118.3419015,US,Inglewood
115,Skillarena,33.9582109,-118.3419015,US,Inglewood
116,Prefeitura Municipal de Tijucas - SC,-27.2463172,-48.6401615,BR,Tijucas
117,dti digital,39.8976402,-86.0490951,US,Lawrence
118,Centro de Excelência em Inteligência Artificial (CExIA) & Deep Learning Brasil,,,,
119,Universidade Estadual do Norte do Paraná - UENP,-23.1604204,-49.9741699,BR,Jacarezinho
120,Autônomo,41.975919,-87.712086,US,Lincolnwood
121,MobFirst,-25.4745225,-49.2952601,BR,Curitiba
122,Whirlpool Corporation,36.2623608,-95.91796339999999,US,Turley
123,KPMG,39.1021549,-94.5820901,US,Kansas City
124,SLT Labs,38.9142787,-119.9983962,US,South Lake Tahoe
125,Unipar - Universidade Paranaense,-23.7565389,-53.3013639,BR,Umuarama
126,Ipiranga,43.2388375,-1.9925147,ES,Urnieta
127,Office Inn,35.9293326,-94.9533508,US,Tahlequah
128,Itaú Unibanco,25.7723394,-80.1877414,US,Miami
129,MWV Rigesa,-26.1212959,-50.31732479999999,BR,Tres Barras
130,Ambev Tech,34.25539,-84.7833646,US,Cartersville
131,Braindness,,,,
132,Altran,33.975342,-84.21503299999999,US,Berkeley Lake
133,Universidade Federal de Pernambuco,-8.0517328,-34.9507155,BR,Recife
134,ICT Lab (Information and Communications Technologies Laboratory),9.5313474,6.4515764,NG,Minna
135,APUS Digital,39.2877823,-77.8600819,US,Charles Town
136,Safra,40.776851,-73.957943,US,Manhattan
137,Alual Festas,-22.2181386,-49.9511009,BR,Marilia
138,Global Park (Grupo Patropi),41.9008377,-87.6439449,US,Chicago
139,Marlo,43.1918413,-89.457111,US,Waunakee
140,ECT - Empresa De Correios e Telégrafos,-3.7043784,-38.4738108,BR,Fortaleza
141,,37.2256055,-95.7162018,US,Independence
142,BTG Pactual,40.7584385,-73.9702732,US,Manhattan
143,Red Hat,35.7752736,-78.63794779999999,US,Raleigh
144,Sodexo Benefícios e Incentivos,-23.4996065,-46.8509092,BR,Barueri
145,,37.2256055,-95.7162018,US,Independence
146,Neotriad S/A,-23.9458654,-46.3297889,BR,Santos
147,robertinhogaspar702@gmail.com,,,,
148,Grão Inteligência,-23.0027005,-43.32177,BR,Rio de Janeiro
149,Santander Brasil,32.5082597,-116.9916133,MX,Tijuana
150,Sensorweb,33.7550439,-84.3896288,US,Atlanta
151,Albieri e Associados Tax & Finance,-23.6914873,-46.549254,BR,Sao Bernardo do Campo
152,Ecotrace Solutions,-23.0368416,-46.98674159999999,BR,Vinhedo
153,Printi,47.00904800000001,15.3997009,AT,Seiersberg
154,Grupo T2,,,,
155,SetraBH - Sindicato das Empresas de Transporte de Passageiros de Belo Horizonte,-19.9286332,-43.9552688,BR,Belo Horizonte
156,Assessoria Empresarial Guandalini,,,,
157,Consisa Sistemas,-26.078349,-53.047916,BR,Francisco Beltrao
158,Youbot Inteligência Artificial,37.7953898,-122.3961067,US,San Francisco
159,SUEZ - Water Technologies & Solutions,30.0645303,-94.2207713,US,Bevil Oaks
160,BI Solutions,33.0543119,-96.8266644,US,The Colony
161,HAB Int Business Institute,38.7101379,-90.31110749999999,US,Bel-Nor
162,Soul Code Jr,30.3113568,-81.7360202,US,Jacksonville
163,,37.2256055,-95.7162018,US,Independence
164,Appen,47.7097889,-122.1909885,US,Kingsgate
165,"CONFIO CONSORCIOS = REPRESENTANTE AUTORIZADO BR CONSORCIOS, CAIXA CONSÓRCIOS E ANCORA CONSORCIOS.",-20.5420085,-47.4078764,BR,Franca
166,Five Tech Solutions,40.5897919,-74.2801484,US,Avenel
167,Udemy,37.7842574,-122.3959203,US,San Francisco
168,Unimed de Araraquara,-21.7905543,-48.1802729,BR,Araraquara
169,Coopersystem,-15.7967262,-47.9615558,BR,Brasilia
170,Sensorweb,33.7550439,-84.3896288,US,Atlanta
171,FRUM TECNOLOGIA EM FREIOS,-22.8260713,-46.3117879,BR,Extrema
172,MField,19.6184811,-155.9490625,US,Holualoa
173,cDataLab,26.1859721,-80.1328551,US,North Andrews Gardens
174,DataForest,38.9050769,-77.0438839,US,"Washington, D.C."
175,Freelance,38.1422606,-94.8137407,US,Mound City
176,MUTANT BR,-23.5820301,-46.6920314,BR,Sao Paulo
177,Sicredi,-2.4254165,-54.7276507,BR,Santarem
178,Governo do Estado de São Paulo,-23.6011523,-46.71192629999999,BR,Taboao da Serra
179,GAIPS Lab,42.3398067,-71.0891717,US,Brookline
180,Universidade Estadual de Campinas,-22.8184393,-47.0647206,BR,Campinas
181,CCR S.A.,-12.0990534,-76.9701134,PE,La Molina
182,Zenvia Mobile,-23.556868,-46.661113,BR,Sao Paulo
183,Neuron - Data Science and Artificial Intelligence,12.9628974,77.7020505,IN,Bangalore
184,Mindsight,41.829685,-88.03268299999999,US,Downers Grove
185,Datarisk,43.0755504,-70.783654,US,Portsmouth
186,Cummins Inc.,35.95492,-86.82801959999999,US,Franklin
187,Localiza,2.8270579,-60.6976753,BR,Boa Vista
188,"Inmetro - Instituto Nacional de Metrologia, Qualidade e Tecnologia",-22.5890507,-43.2821524,BR,Petropolis
189,BRF S.A.,32.4806585,-93.77184109999999,US,Shreveport
190,Universidade de São Paulo,-23.5613991,-46.7307891,BR,Osasco
191,Stone,37.06250000000001,-95.677068,US,Coffeyville
192,Embraer - Empresa Brasileira de Aeronáutica S.A.,33.3141829,-111.6758101,US,Queen Creek
193,Hotmart,25.4967024,-103.4035908,MX,Torreon
194,freelance,38.1422606,-94.8137407,US,Mound City
195,Hotmart,25.4967024,-103.4035908,MX,Torreon
196,Ourofino Saúde Animal,-21.2867927,-47.7482074,BR,Cravinhos
197,Núcleo de Gerenciamento Pará Rural,-1.4621937,-48.4910635,BR,Belem
198,Systax,-23.559972,-46.651412,BR,Sao Paulo
199,Alex Rodrigues Alves - Advogado e Consultor Jurídico,-15.8193062,-48.1037691,BR,Brasilia
200,Sal Express Soluções Logísticas,-21.5823148,-45.4396917,BR,Varginha
201,Nacional Gás Butano Distribuidora Ltda,-5.1340183,-36.3889711,BR,Macau
202,Megawork Consultoria,-23.6072106,-46.6614213,BR,Sao Paulo
203,A GERADORA,-10.9002671,-37.1409367,BR,Nossa Senhora do Socorro
204,Solda Fria Produções,-23.4529071,-46.5970376,BR,Guarulhos
205,BBChain,42.8132963,-71.646512,US,Milford
206,Universidade Federal do Rio Grande do Norte,-5.8397871,-35.2017448,BR,Natal
207,BRIDGE - Rede de Excelência em Ciência e Tecnologia do Estado de Sergipe,-10.5740934,-37.3856581,BR,Moita Bonita
208,Autônomo,41.975919,-87.712086,US,Lincolnwood
209,FUNPAR - Fundação da Universidade Federal do Paraná,-25.431822,-49.26602200000001,BR,Curitiba
210,içougue®,-23.5667005,-46.6509627,BR,Sao Paulo
211,Leega,45.3259593,-75.8218133,CA,Bells Corners
212,"GREMI - Grupo de Pesquisa em Economia, Meio Ambiente e Inovação",-5.811883799999999,-35.2035069,BR,Natal
213,Saint-Gobain,39.1381391,-94.61354000000001,US,Kansas City
214,Valour Informática,32.9374727,-96.7502392,US,Richardson
215,Tecno System EJ,44.6594478,11.7779725,IT,Consandolo
216,,37.2256055,-95.7162018,US,Independence
217,Universidade Federal do Paraná,-25.4269081,-49.2617658,BR,Curitiba
218,Capgemini,29.7393613,-95.4632742,US,Bellaire
219,Multiplan Empreendimentos S.A.,40.7385177,-73.9905929,US,New York City
220,IBOPE DTM Marketing de Relacionamento,-23.5258235,-46.6738772,BR,Sao Paulo
221,Expert System ,39.047621,-77.124978,US,North Bethesda
222,Anamar Comércio e Transportes Ltda,-23.7542438,-46.4028854,BR,Rio Grande da Serra
223,PUC-SP,-23.5379201,-46.671058,BR,Sao Paulo
224,Geophysique,48.10960799999999,-77.814624,CA,Val-d'Or
225,DASEL CORRETORA,-8.0653318,-34.8947924,BR,Recife
226,Braspag,-23.5045617,-46.8512235,BR,Carapicuiba
227,ADRITEC SUPORT MANUTENÇÃO,-23.1713839,-45.8208756,BR,Sao Jose dos Campos
228,Urbe Mobile,-23.1566899,-45.7906975,BR,Sao Jose dos Campos
229,Smarppy Consultoria e Desenvolvimento de Software,-24.0392604,-52.3720249,BR,Campo Mourao
230,Compasso,28.6372946,-106.0974583,MX,Chihuahua
231,FCA Fiat Chrysler Automobiles,42.65513869999999,-83.2305966,US,Auburn Hills
232,CotaBest,-23.5990508,-46.6896139,BR,Sao Paulo
233,Synvia,-22.7838506,-47.1515602,BR,Paulinia
234,Prefeitura Municipal de Pomerode,-26.7415522,-49.1750923,BR,Pomerode
235,Saint-Gobain,39.1381391,-94.61354000000001,US,Kansas City
236,MINDS - Machine Intelligence and Data Science Laboratory,,,,
237,"GoGlobalTips, LookDigital, Glasses4.0, Tsuha Sushi Wine, Hotel Boutique Bela Vista",,,,
238,Via Varejo SA,40.8947334,-73.9425538,US,Englewood Cliffs
239,IBM Brasil,-23.5799222,-46.649075,BR,Sao Paulo
240,Yoga Alliance,38.89340019999999,-77.0777816,US,Arlington
241,Dankia Automação Hospitalar,-23.6302008,-46.7047514,BR,Taboao da Serra
242,Zoox Smart Data,34.0530311,-84.2726268,US,Alpharetta
243,AI Inclusive,33.7401008,-78.8189316,US,Myrtle Beach
244,Farmácias Pague Menos,-3.0690253,-60.0050144,BR,Manaus
245,Indra,40.0362122,-105.2277543,US,Boulder
246,Supermercados Guanabara,-22.8811624,-43.3397789,BR,Sao Joao de Meriti
247,Proxxi Technology an IBM Company,49.28120910000001,-123.1148296,CA,West End
248,IPEMIG,-19.9197229,-43.9393338,BR,Belo Horizonte
249,Institute for Applied Economic Research (Ipea),-15.798564,-47.880734,BR,Brasilia
250,B3,32.9991778,-96.90919939999999,US,Carrollton
251,Centro Universitário Adventista de São Paulo,-22.5034917,-47.1632896,BR,Artur Nogueira
252,Nubank,40.7078306,-74.0088936,US,New York City
253,Ticket,38.9858865,-94.6085224,US,Leawood
254,Alelo Brasil,-23.5046677,-46.8510711,BR,Carapicuiba
255,,37.2256055,-95.7162018,US,Independence
256,Ms Soluções Médicas,-23.4963969,-46.852062,BR,Barueri
257,Incognia,,,,
258,Funcional Health Tech,-23.5643058,-46.66426,BR,Sao Paulo
259,Student/Self-Employed (Full Time Data Science Student),,,,
260,Agrosepac,-25.8697414,-50.8145851,BR,Sao Mateus do Sul
261,CGA Compañía General Automotriz de Colombia S.A.S.,4.600188,-74.13529199999999,CO,Bogota
262,TQS - Escritório Individual de Advocacia,-15.8352486,-47.86391589999999,BR,Brasilia
263,Universidade Federal do Rio de Janeiro,-22.8625345,-43.2234737,BR,Rio de Janeiro
264,Ajudapet.org,-20.3424632,-40.2882338,BR,Vila Velha
265,MAX3D,,,,
266,Cencosud S.A.,3.511339500000001,-76.51226849999999,CO,Yumbo
267,Oracle,36.3612928,-94.1827873,US,Bentonville
268,FIA Business School,33.4860616,-112.134725,US,Phoenix
269,Setup Automação - Soluções em automação Industrial desde 1996,-22.936951,-47.068452,BR,Campinas
270,AngelLira Rastreamento Satelital,-27.0980309,-52.6037259,BR,Chapeco
271,,37.2256055,-95.7162018,US,Independence
272,Metrô de São Paulo,-23.5890845,-46.6350498,BR,Sao Paulo
273,Hospital Estadual Mário Covas,-23.6709183,-46.5331357,BR,Santo Andre
274,"Secretaria de Mineração, Indústria, Comércio, Ciência e Tecnologia ",-6.066669399999999,-49.9041402,BR,Maraba
275,Avanade,32.8706656,-96.93789869999999,US,Irving
276,Icaro Tech,25.7722103,-80.1869043,US,Miami
277,Somar ,37.80733060000001,-122.2703688,US,Oakland
278,Taqtile Brasil,-23.5455809,-46.6817487,BR,Sao Paulo
279,Senior Sistemas,34.382648,-83.862887,US,Gainesville
280,HFocus,46.7319225,-117.1542121,US,Pullman
281,GEBank/1Driver/Comdesconto,,,,
282,Safeweb Segurança da Informação,-30.0466661,-51.20577600000001,BR,Porto Alegre
283,Petrobras,29.7279912,-95.5555577,US,Bunker Hill Village
284,Prefeitura do Rio de Janeiro,-22.9112346,-43.2057487,BR,Rio de Janeiro
285,Audasi ,-22.9771056,-43.1900122,BR,Rio de Janeiro
286,Creditas,50.2303003,12.868645,CZ,Karlovy Vary
287,Reali Studio,37.562112,-122.2860348,US,Foster City
288,Magazine New,36.7479068,-95.9761115,US,Bartlesville
289,Agrotis Agroinformática,-25.4276716,-49.26652199999999,BR,Curitiba
290,Indra,40.0362122,-105.2277543,US,Boulder
291,Suzano,26.2060507,-80.136991,US,North Andrews Gardens
292,IcompSoft Sistemas de Informação LTDA,-26.0813065,-53.0529756,BR,Francisco Beltrao
293,MAGNA SISTEMAS,32.934935,-97.2454224,US,Keller
294,,37.2256055,-95.7162018,US,Independence
295,Voxiva Perú,-12.1453468,-77.02193559999999,PE,Surco
296,Genesis Sistemas & Inteligência Artificial,29.7045986,-95.8498707,US,Fulshear
297,Tata Consultancy Services,36.3629588,-94.21595900000001,US,Bentonville
298,Salt RH,40.7681356,-111.8917073,US,Salt Lake City
299,Gmobil Sistemas,37.031874,-94.478875,US,Duquesne
300,Prefeitura Municipal de Mallet,-25.884008,-50.826448,BR,Uniao da Vitoria
301,Ipiranga Produtos De Petroleo,-18.9975096,-48.395757,BR,Uberlandia
302,Unimed Curitiba,-25.4251148,-49.2281754,BR,Pinhais
303,Universidade do Estado do Rio Grande do Norte,-5.573772099999999,-36.9090367,BR,Acu
304,Datatype,37.5539752,-122.306323,US,San Mateo
305,FACIT - Faculdade de Ciências do Tocantins,-7.199863400000001,-48.2710674,BR,Araguaina
306,FitBank Pagamentos Eletrônicos,-23.5807626,-46.6840856,BR,Sao Paulo
307,Prefeitura Municipal de Ilha Solteira,-20.4265546,-51.3441743,BR,Ilha Solteira
308,Passalacqua & Cia Ltda,-16.7897497,-49.257135,BR,Aparecida de Goiania
309,Prepara Cursos - SJP,-25.5355013,-49.2042187,BR,Sao Jose dos Pinhais
310,Amvian Indústria e Comércio de Peças Automotivas,-23.1065387,-46.505049,BR,Atibaia
311,Vórtx,42.1859122,-122.6733934,US,Ashland
312,PwC,36.1399226,-94.1809318,US,Johnson
313,Sicredi,-2.4254165,-54.7276507,BR,Santarem
314,Meritt - Cada aluno é único,-27.5888491,-48.5080568,BR,Santa Monica
315,4Tune.ai,,,,
316,Freelancer,43.647375,-79.39816379999999,CA,Toronto
317,QSdoBrasil,-23.4993289,-46.637764,BR,Sao Paulo
318,Reclame Aqui,40.741861,-73.989592,US,New York City
319,CEPEM,18.5604986,-72.2945739,HT,Delmas 73
320,Inglês Particular,32.5220856,-117.1139033,MX,La Esperanza [Granjas Familiares]
321,Sensorweb,33.7550439,-84.3896288,US,Atlanta
322,Monitora Soluções Tecnológicas,-22.0050587,-47.9040081,BR,Sao Carlos
323,Centro de Excelência em Inteligência Artificial (CExIA) & Deep Learning Brasil,,,,
324,EDICOM,40.7056685,-74.00609589999999,US,New York City
325,BTG Pactual digital,-23.5864794,-46.68207839999999,BR,Sao Paulo
326,tembici.,-8.0515907,-34.8785749,BR,Recife
327,Hypera Pharma,-23.5974359,-46.6972703,BR,Sao Paulo
328,GreenMile,28.4796332,-81.3121948,US,Conway
329,Hey Kid Health,,,,
330,Repom S.A.,-23.5022189,-46.8511912,BR,Carapicuiba
331,Wenovity,37.7901932,-122.4019926,US,San Francisco
332,Grupo Portfolio,-3.7359138,-38.4900565,BR,Fortaleza
333,Instituto Água e Terra,-25.4409532,-49.2578104,BR,Curitiba
334,Autonomo,41.975919,-87.712086,US,Lincolnwood
335,MAGNA SISTEMAS,32.934935,-97.2454224,US,Keller
336,Anubis Corretora de Seguros,-12.9195969,-38.35575499999999,BR,Lauro de Freitas
337,Fundação Getulio Vargas,-22.9015133,-43.1769469,BR,Rio de Janeiro
338,GAVB,-29.9198619,-51.1697768,BR,Canoas
339,Gescon Solucoes,-12.9828586,-38.45515109999999,BR,Salvador
340,NANABOROK CONFECÇÃO ,-22.1512344,-49.9590412,BR,Marilia
341,Multivisi Comércio e Importação,-3.7596754,-38.5392887,BR,Fortaleza
342,Stefanini Brasil,37.541988,-77.4405724,US,Richmond
343,MaxCar Serviços Mecânicos,-23.1079171,-47.2113846,BR,Indaiatuba
344,UBEC - União Brasileira de Educação Católica,-15.8225021,-48.00288390000001,BR,Brasilia
345,ADVANCE Consulting,41.8796763,-87.63560559999999,US,Chicago
346,Stone,37.06250000000001,-95.677068,US,Coffeyville
347,Ibet ,39.99368520000001,-83.0476556,US,Upper Arlington
348,Recrutamento e Seleção,-9.615797899999999,-35.7344391,BR,Maceio
349,Universidade Tecnológica Federal do Paraná- Câmpus Londrina,-23.3075006,-51.1131833,BR,Londrina
350,Baymetrics Tecnologia,-23.4927113,-46.8480458,BR,Carapicuiba
351,Bradesco Cartões,-23.5487656,-46.7746204,BR,Osasco
352,,37.2256055,-95.7162018,US,Independence
353,Grupo Petrópolis,-23.2636019,-47.6617677,BR,Boituva
354,Total Express,43.7012068,-79.62717959999999,CA,Etobicoke
355,Genesys,39.5651367,-104.8674599,US,Meridian
356,Sistema FIERGS,-29.9794396,-51.11187959999999,BR,Cachoeirinha
357,Thompson Management Horizons,39.1113895,-104.8485488,US,Woodmoor
358,SmartHint Technology LLC,-25.433056,-49.283285,BR,Curitiba
359,Oi,35.7688385,-95.3372809,US,Muskogee
360,Pernambuco Radiadores,-8.1747056,-34.9424782,BR,Jaboatao
361,EPEMA - EMPRESA PAULISTA DE EMBALAGENS AGROINDUSTRIAIS LTDA,-21.8238576,-48.1520637,BR,Araraquara
362,Universidade Paulista,-20.8432082,-49.4135354,BR,Sao Jose do Rio Preto
363,,37.2256055,-95.7162018,US,Independence
364,Paddock Papelaria e Informática,-23.6322231,-46.7003492,BR,Taboao da Serra
365,Unicorp Informática Industrial,41.3162743,-81.4649123,US,Twinsburg
366,V2 Pesquisa e Análise de Mercado,-23.4926302,-46.6316135,BR,Sao Paulo
367,Pipolo Revestimentos,,,,
368,Arquitetura Positiva Eireli,-22.3723284,-43.1271113,BR,Petropolis
369,LLE Ferragens ltda - Ferragens Pisa,-22.8678901,-43.2521695,BR,Rio de Janeiro
370,EVOX TECHNOLOGY CORP,33.849121,-118.223854,US,Compton
371,Hospital Alemão Oswaldo Cruz,-23.5692208,-46.6430118,BR,Sao Paulo
372,,37.2256055,-95.7162018,US,Independence
373,Refinaria Nacional de Sal S.A.,-23.5688149,-46.647051,BR,Sao Paulo
374,Hitachi ABB Power Grids,35.773028,-78.676814,US,West Raleigh
375,REASON - Grupo de Pesquisa em Avaliação de Risco em Sistemas Industriais e Naturais,,,,
376,Medium,38.91120790000001,-94.61304109999999,US,Leawood
377,BairesDev,38.9349782,-77.1759708,US,McLean
378,ECOA PUCRIO,-22.9795428,-43.2329454,BR,Rio de Janeiro
379,C&A Brasil,-22.873636,-43.338021,BR,Sao Joao de Meriti
380,Autonômo,41.975919,-87.712086,US,Lincolnwood
381,Gerencianet,-23.5634382,-46.6547934,BR,Sao Paulo
382,,37.2256055,-95.7162018,US,Independence
383,Eletrobras,-3.1350144,-60.008731,BR,Manaus
384,SpotPromo a serviço da LG Eletronics do Brasil LTDA    ,-3.1350144,-60.008731,BR,Manaus
385,Loggi,39.262923,-74.645321,US,Ocean City
386,EYEVISION Mídias Interativas,,,,
387,Avibras,-23.3209568,-45.81285949999999,BR,Santa Branca
388,Publicidade,39.5518663,-8.9783362,PT,Alcobaca
389,Motorola Mobility (a Lenovo Company),41.88852,-87.635448,US,Chicago
390,Memora Processos Inovadores S/A,-15.789861,-47.91354399999999,BR,Brasilia
391,Luby Software your way,26.2877519,-80.2477775,US,Parkland
392,Dataminutes,,,,
393,Em busca de novos desafios!,,,,
