,Company
0,Cloud Devs
1,Akaer
2,Stefanini Brasil
3,Unimed Sul Capixaba
4,CAPES - Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
5,Gerencianet
6,Distrilaf
7,Via Reversa
8,Avenue Code
9,Invillia
10,BioCatch
11,prestd
12,
13,Crefisa
14,Hybrid Formula-E Team 
15,KaBuM!
16,TQI
17,Zup Innovation
18,CrediSIS
19,Zup Innovation
20,PepsiCo
21,Paulo
22,"URJA Social - Tecnologia, Gestão e Operação Ltda"
23,Prefeitura Municipal de Nova Trento
24,Bradesco
25,Mercantil do Brasil
26,everis
27,Universidade Federal de Santa Catarina
28, EXPN Consultoria em desenvolvimento de software
29,Infofast Cursos Profissionalizantes
30,Elumini Outdoing IT
31,
32,Teltec Solutions
33,Drogaria Araujo S/A
34,Natura
35,Secretaria de Saúde do Ceará
36,Construtora Cim
37,Nouryon
38,
39,CEEE
40,Teachinguide.com
41,Laticínios Tirol
42,Stefanini
43,Aeris Energy
44,Grupo Casa Magalhães
45,Decode
46,Ecori Energia Solar
47,Sociedade Porvir Cientifico - Rede La Salle e Ensino
48,Beegol
49,International Institute of Physics - UFRN
50,Radix Engenharia e Software
51,Inteligencia de Negocios
52,Eldorado Brasil Celulose S/A
53,Nenhuma
54,FDC TECNOLOGIA
55,Corptocorp Org
56,Hotmart
57,TOTVS
58,Eleva Educação
59,Sisaut Tecnologia
60,Betha Sistemas
61,Petrobras
62,Prefeitura Municipal de Caraguatatuba 
63,Brave.ag
64,Paraná Banco S/A
65,Deal
66,Vero Internet
67,
68,CCR Metrô Bahia
69,Home Office
70,
71,
72,Delaxy Marketplace
73,Autônomo
74,Centro Universitário São Lucas
75,Hub Fintech 
76,Senac Santa Catarina
77,Armazém de Documentos
78,MachLab
79,WF Estruturas e Sistemas
80,ByteCom Sistemas e Serviços Ltda
81,Centro Universitário de União da Vitória UNIUV
82,Estamos aqui para cuidar de você
83,EBSERH
84,Bravo - Serviços Logísticos
85,MC1 - Win The Market
86,iTER Software de Rastreamento e Telemetria
87,UPFLUX Advanced Analytics
88,Creditas
89,Deloitte Brasil
90,Tribunal de Justiça Militar de São Paulo
91,Mixtel Atacado
92,ARISB-MG
93,"AC Tecnologia - Áudio/Vídeo, Automação Corporativa, Residencial, e Gov."
94,Universidade Federal do Rio de Janeiro
95,Dasa
96,Bradesco
97,Centro de Inovação EDGE
98,Cervejaria Ambev
99,Confidential
100,"Secretaria Municipal de Meio Ambiente, Saneamento e Recursos Hídricos de Cristalina Goiás "
101,Rede
102,Grupo SEPAC
103,Veterinário
104,Conselho Baiano de Turismo
105,Unimed Federação Rio
106,Caixa Econômica Federal
107,Mater Misericordiae University Hospital
108,CreativeCode
109,Unimed Nordeste Paulista - Federacao Intrafederativa Das Cooperativas Medicas
110,Grupo GFT
111,BEHIVE TECNOLOGIA
112,Embarcados
113,NVIDIA
114,SkillArena
115,Skillarena
116,Prefeitura Municipal de Tijucas - SC
117,dti digital
118,Centro de Excelência em Inteligência Artificial (CExIA) & Deep Learning Brasil
119,Universidade Estadual do Norte do Paraná - UENP
120,Autônomo
121,MobFirst
122,Whirlpool Corporation
123,KPMG
124,SLT Labs
125,Unipar - Universidade Paranaense
126,Ipiranga
127,Office Inn
128,Itaú Unibanco
129,MWV Rigesa
130,Ambev Tech
131,Braindness
132,Altran
133,Universidade Federal de Pernambuco
134,ICT Lab (Information and Communications Technologies Laboratory)
135,APUS Digital
136,Safra
137,Alual Festas
138,Global Park (Grupo Patropi)
139,Marlo
140,ECT - Empresa De Correios e Telégrafos
141,
142,BTG Pactual
143,Red Hat
144,Sodexo Benefícios e Incentivos
145,
146,Neotriad S/A
147,robertinhogaspar702@gmail.com
